122 baltimorenfio
3² bimaculatue
62 binotatus
33 bipustulatus
60 blandus
54 boops
50 breuicornis
22 brunneus
124 brunnipes
2 Capucinus
42 carbonarius
132 castanopterus
37 celer
53 cephalotes
¹4¹ chloropterus
147 Chrysls
146 chrysocephalue
84 cinczulus
137 cineras-:ens
140 cingulatus
1²7 cinnamopterus
15 coenosus
14 corruscus
114 cyaneus
78 cyanisseunis
77 decor ue
88 denigratur
85 dilatatus
²4 discoideus
63 dubius
41 ebeninus
104 elegans
98 elongatus
97 emmesus
133 erythropterus
143 femoratus
7² fimetarius
65 flauopterus
134 fodiens
61 formosus
135 foffator
136 foffor
187 fulgens

 

108 fulgidus
10 fuliginosas
¹07 fulminans
106 fuluipennis
66 fuluipes
45 fumarius
1²3 fuscatus
26 fuscus
99 glaber
100 glabratus
148 hirtus
36 immundus
1 impressus
81 laminatus
129 latebricola
4 lateralis
8 laticollis
101 lentus
64 lepidus
94 linearis
151 luta1ius
116 macrocophalus
145 maculosus
56 marginatus
20 maurorufus
150 maxinosus
111 melanocephalus
79 metallicus
·69 micans
52 microcephalue
9 moestus
6 molochinue
121 morio
14² murinus
93 nanus
139 nebulosus
44 nigrim
90 nigritulue
71 nitens
51 nitidulus
ς nitidus
95 ochraceun
39 ochropua

1ος
104

115
111
123

